latitude,longitude,shebei,cengshu,gaodu,zhengpin,cishu,cev,k30,sr,mol,quyu,vbrt_type,id,v,latitude2,longitude2,shebei2,cengshu2,gaodu2,zhengpin2,cishu2,cev2,k302,sr2,mol2,quyu2,vbrt_type2,id2,v2
30.63272529,103.9685986,6667,1,490.06,31,1,28.9571,128.8116089,83.22738221,97.69072422,4,0,279036,1,30.63272529,103.9685986,6667,1,490.06,31,2,33.6659,128.8116089,83.22738221,97.69072422,4,0,279307,0.83
30.63272232,103.9686046,6667,1,490.06,31,1,36.1781,120.3637004,80.67109768,91.28383041,4,0,279037,1,30.63272232,103.9686046,6667,1,490.06,31,2,42.9907,120.3637004,80.67109768,91.28383041,4,0,279308,0.83
30.63271844,103.9686099,6667,1,490.07,31,1,23.0528,104.9312852,75.50025267,79.57988673,4,0,279038,1,30.63271844,103.9686099,6667,1,490.07,31,2,19.5284,104.9312852,75.50025267,79.57988673,4,0,279309,0.83
30.63271449,103.9686126,6667,1,490.08,31,1,39.8005,123.040647,81.50004589,93.3140267,4,0,279039,1,30.63271449,103.9686126,6667,1,490.08,31,2,32.8468,123.040647,81.50004589,93.3140267,4,0,279310,0.83
30.63271015,103.9686149,6667,1,490.09,31,1,40.468,121.4960044,81.02395668,92.14256974,4,0,279040,1,30.63271015,103.9686149,6667,1,490.09,31,2,32.7509,121.4960044,81.02395668,92.14256974,4,0,279311,0.83
30.63270588,103.9686171,6667,1,490.09,31,1,47.488,132.1459081,84.19045012,100.2194567,4,0,279041,1,30.63270588,103.9686171,6667,1,490.09,31,2,51.293,132.1459081,84.19045012,100.2194567,4,0,279312,0.83
30.63269983,103.96862,6667,1,490.1,31,1,25.2568,111.86166,77.9104805,84.83588298,4,0,279042,1,30.63269983,103.96862,6667,1,490.1,31,2,26.1317,111.86166,77.9104805,84.83588298,4,0,279313,0.83
30.63269373,103.9686229,6667,1,490.1,31,1,20.7379,111.7825882,77.88383264,84.77591492,4,0,279043,1,30.63269373,103.9686229,6667,1,490.1,31,2,34.1505,111.7825882,77.88383264,84.77591492,4,0,279314,0.83
30.63268715,103.9686245,6667,1,490.11,31,1,13.1821,99.75915923,73.59539514,75.65734636,4,0,279044,1,30.63268715,103.9686245,6667,1,490.11,31,2,14.5817,99.75915923,73.59539514,75.65734636,4,0,279315,0.83
30.63268254,103.9686248,6667,1,490.11,31,1,39.0882,123.0766615,81.51107484,93.34134011,4,0,279045,1,30.63268254,103.9686248,6667,1,490.11,31,2,41.1221,123.0766615,81.51107484,93.34134011,4,0,279316,0.83
30.63267799,103.9686251,6667,1,490.12,31,1,24.6088,111.6730135,77.84687385,84.69281345,4,0,279046,1,30.63267799,103.9686251,6667,1,490.12,31,2,31.7098,111.6730135,77.84687385,84.69281345,4,0,279317,0.83
30.63267152,103.9686257,6667,1,490.13,31,1,9.3103,96.15509541,72.20872249,72.92402436,4,0,279047,1,30.63267152,103.9686257,6667,1,490.13,31,2,25.0069,96.15509541,72.20872249,72.92402436,4,0,279318,0.83
30.63266553,103.9686273,6667,1,490.14,31,1,5.6623,91.18683377,70.20945995,69.15609473,4,0,279048,1,30.63266553,103.9686273,6667,1,490.14,31,2,9.6347,91.18683377,70.20945995,69.15609473,4,0,279319,0.83
30.63266041,103.9686303,6667,1,490.14,31,1,26.0368,121.9195016,81.15508643,92.46375001,4,0,279049,1,30.63266041,103.9686303,6667,1,490.14,31,2,43.5235,121.9195016,81.15508643,92.46375001,4,0,279320,0.83
30.63265667,103.9686349,6667,1,490.15,31,1,11.6714,103.3148662,74.91521448,78.35399451,4,0,279050,1,30.63265667,103.9686349,6667,1,490.15,31,2,27.7831,103.3148662,74.91521448,78.35399451,4,0,279321,0.83
30.6326537,103.9686401,6667,1,490.16,31,1,13.5957,99.9134338,73.65362886,75.77434819,4,0,279051,1,30.6326537,103.9686401,6667,1,490.16,31,2,27.3853,99.9134338,73.65362886,75.77434819,4,0,279322,0.83
30.63265014,103.9686454,6667,1,490.16,31,1,45.881,132.5027465,84.29207512,100.4900829,4,0,279052,1,30.63265014,103.9686454,6667,1,490.16,31,2,42.7944,132.5027465,84.29207512,100.4900829,4,0,279323,0.83
30.63264561,103.9686503,6667,1,490.17,31,1,30.9653,114.5978265,78.82117276,86.91099162,4,0,279053,1,30.63264561,103.9686503,6667,1,490.17,31,2,35.879,114.5978265,78.82117276,86.91099162,4,0,279324,0.83
30.63264018,103.9686545,6667,1,490.17,31,1,21.9989,106.431733,76.03530675,80.7178263,4,0,279054,1,30.63264018,103.9686545,6667,1,490.17,31,2,25.4776,106.431733,76.03530675,80.7178263,4,0,279325,0.83
30.63263577,103.9686563,6667,1,490.18,32,1,37.4898,126.6595795,82.59246798,96.0586251,4,0,279055,1,30.63263577,103.9686563,6667,1,490.18,32,2,47.26,126.6595795,82.59246798,96.0586251,4,0,279326,0.83
30.63263088,103.9686564,6667,1,490.18,31,1,31.5266,110.088375,77.30829389,83.49102358,4,0,279056,1,30.63263088,103.9686564,6667,1,490.18,31,2,30.3964,110.088375,77.30829389,83.49102358,4,0,279327,0.83
30.63262606,103.968655,6667,1,490.18,31,1,19.6214,102.9442807,74.77979719,78.07294252,4,0,279057,1,30.63262606,103.968655,6667,1,490.18,31,2,30.4281,102.9442807,74.77979719,78.07294252,4,0,279328,0.83
30.6326217,103.9686525,6667,1,490.19,31,1,30.8241,120.5956947,80.7436635,91.45977489,4,0,279058,1,30.6326217,103.9686525,6667,1,490.19,31,2,37.1863,120.5956947,80.7436635,91.45977489,4,0,279329,0.83
30.632618,103.9686489,6667,1,490.19,31,1,25.2754,109.719611,77.18184823,83.211353,4,0,279059,1,30.632618,103.9686489,6667,1,490.19,31,2,25.074,109.719611,77.18184823,83.211353,4,0,279330,0.83
30.63261498,103.9686446,6667,1,490.19,31,1,25.3202,110.4185935,77.42116375,83.74146133,4,0,279060,1,30.63261498,103.9686446,6667,1,490.19,31,2,27.6613,110.4185935,77.42116375,83.74146133,4,0,279331,0.83
30.63261261,103.9686399,6667,1,490.19,31,1,19.7427,109.378321,77.06444389,82.95251866,4,0,279061,1,30.63261261,103.9686399,6667,1,490.19,31,2,35.9359,109.378321,77.06444389,82.95251866,4,0,279332,0.83
30.6326109,103.968635,6667,1,490.19,32,1,30.736,122.5623357,81.35326278,92.95127538,4,0,279062,1,30.6326109,103.968635,6667,1,490.19,32,2,39.5204,122.5623357,81.35326278,92.95127538,4,0,279333,0.83
30.63260973,103.9686298,6667,1,490.2,32,1,25.1974,113.6923815,78.52223858,86.22430215,4,0,279063,1,30.63260973,103.9686298,6667,1,490.2,32,2,27.3735,113.6923815,78.52223858,86.22430215,4,0,279334,0.83
30.63260887,103.9686244,6667,1,490.2,31,1,28.1483,110.526534,77.457985,83.8233234,4,0,279064,1,30.63260887,103.9686244,6667,1,490.2,31,2,23.8329,110.526534,77.457985,83.8233234,4,0,279335,0.83
30.63260844,103.9686191,6667,1,490.2,31,1,30.2749,130.5786437,83.74083045,99.03084336,4,0,279065,1,30.63260844,103.9686191,6667,1,490.2,31,2,42.0632,130.5786437,83.74083045,99.03084336,4,0,279336,0.83
30.63260795,103.968614,6667,1,490.2,31,1,13.737,103.2693482,74.89860775,78.3194737,4,0,279066,1,30.63260795,103.968614,6667,1,490.2,31,2,29.3,103.2693482,74.89860775,78.3194737,4,0,279337,0.83
